id,question,choice_0,choice_1,choice_2,choice_3,answer,gemma,gemma_conf,gemma_it,gemma_it_conf
10,"Un conductor que resultó lesionado en un accidente demandó al otro conductor negligente por sus daños. El perito médico de la defensa realizó un examen médico independiente y revisó todos los registros médicos. El perito declaró que el accidente no causó las lesiones porque los registros médicos demostraban un largo historial de tratamientos previos por los mismos síntomas. El jurado emitió un veredicto a favor del demandante, pero le otorgó solo $10 por concepto de daños. En las mociones posteriores al juicio, el demandante alegó que el testimonio del perito era testimonio de oídas inadmisible porque lo basó en los registros de los médicos tratantes anteriores, y esos médicos no estaban disponibles para ser contrainterrogados. Conforme a las Federal Rules of Evidence, ¿cuál es la decisión correcta?",El testimonio relativo al estado del demandante antes del accidente es irrelevante y el testimonio es inadmisible.,Las Federal Rules of Evidence permiten la admisión de declaraciones de oídas que se hicieron con fines de diagnóstico o tratamiento médico.,El testimonio médico que es relevante para las cuestiones controvertidas nunca puede excluirse del caso del demandado porque siempre es fiable.,"El testimonio es testimonio de oídas inadmisible porque, según estos hechos, existía un derecho constitucional a contrainterrogar a los médicos que redactaron los registros anteriores.",B,A,0.3873,A,0.7714
11,Un vendedor afirma que ha ocurrido una circunstancia que hace impracticable el cumplimiento de un contrato de compraventa. ¿Cuál de las siguientes afirmaciones no es correcta acerca de la liberación de la obligación por impracticabilidad (discharge for impracticability)?,El problema no debe haber sido causado por culpa de la parte que pretende invocar la defensa.,Un aumento de precio es suficiente para la liberación de la obligación.,La negativa a excusar el cumplimiento daría lugar a una grave injusticia.,La impracticabilidad debe afectar a un supuesto básico sobre el cual se celebró el contrato.,B,B,0.3255,B,0.9998
12,"El viernes por la noche, un conductor resultó lesionado en un accidente automovilístico después de que su vehículo fuera golpeado lateralmente por un automovilista no identificado. Tras el accidente, el conductor fue ingresado en el hospital, donde recibió tratamiento por sus lesiones. Mientras estaba en el hospital, al conductor se le diagnosticó una fractura de columna. Le colocaron un yeso corporal y luego lo pusieron en tracción. El médico del conductor montó el aparato de tracción y colocó la pierna izquierda del conductor en un estribo elevado en un ángulo de 40 grados. Se indicó al conductor que permaneciera acostado boca arriba en la cama. El sábado por la mañana, después del desayuno, el conductor pidió una cuña a una enfermera. Ella estaba colocando la cuña bajo el cuerpo del conductor cuando el estribo que sostenía su pierna se rompió. Esto hizo que la pierna del conductor cayera contra el armazón metálico del costado de la cama, fracturándole la tibia. El aparato de tracción era defectuoso porque el fabricante no había incluido un pestillo de seguridad en el dispositivo del estribo para evitar que se desprendiera si no estaba firmemente sujeto en su lugar. Si el conductor interpone una reclamación contra el fabricante, lo más probable es que","prevalezca, porque el estribo se rompió mientras el aparato de tracción estaba en uso normal.","prevalezca, porque la omisión del fabricante de incluir un pestillo de seguridad hizo que el aparato de tracción fuera defectuoso.","no prevalezca, porque el aparato de tracción ya no estaba bajo el control del fabricante.","no prevalezca, si el médico no sujetó correctamente el estribo al montar el aparato de tracción.",B,B,0.7632,B,1.0
13,"El propietario de una vivienda le dijo a un techador: ""Mi techo tiene goteras. Creo que las tejas viejas están agrietadas. Si las reemplaza todas por tejas nuevas, le pagaré $5,000"". El techador respondió: ""Claro, si logro hacer espacio en mi apretada agenda"". El propietario entonces comentó: ""Está bien, pero avíseme pronto"". Tres días después, el techador condujo su camioneta hasta la casa del propietario y descargó los materiales y el equipo necesarios para realizar el trabajo de techado. Cuando el propietario miró por la ventana y vio lo que estaba ocurriendo, salió corriendo de inmediato y exclamó: ""¡Alto! El trato queda cancelado. Decidí reparar el techo yo mismo"". En una acción del techador contra el propietario por incumplimiento de contrato, ¿cuál de las siguientes le proporcionaría al techador su mejor teoría para obtener una indemnización?",Se formó un contrato bilateral cuando el techador compró los materiales y el equipo necesarios para realizar el trabajo.,"Se formó un contrato bilateral cuando el techador dijo: ""Claro, si logro hacer espacio en mi apretada agenda"".","El propietario hizo una oferta que proponía un contrato unilateral, y la oferta se volvió irrevocable cuando el techador compró los materiales y el equipo necesarios para el trabajo.","El propietario hizo una oferta que proponía un contrato unilateral, y el techador manifestó su intención de aceptar la oferta cuando comenzó el cumplimiento al descargar los materiales y el equipo en la casa del propietario.",D,D,0.4878,D,0.9964
14,"Un viudo era propietario en dominio pleno (fee simple) de una cantera de 10 acres. El 1 de agosto, el viudo entregó a su amigo una escritura por la que transmitía la cantera a su sobrina y le dijo al amigo: ""Entrégasela a mi sobrina"". Sin que el viudo lo supiera, la sobrina se encontraba en África. La semana siguiente, el amigo inscribió debidamente la escritura en la Recorder's Office. Un mes después, el viudo falleció y en su testamento legó la cantera a su hija. Posteriormente, la sobrina regresó de África y surgió una disputa entre la sobrina y la hija sobre la propiedad de la cantera. En un juicio de saneamiento de título (quiet title) sobre la cantera, el tribunal falló a favor de la sobrina. Lo más probable es que el fallo se haya basado en cuál de los siguientes fundamentos:","Hubo una donación ""causa mortis"" eficaz.",La entrega fue eficaz cuando el viudo entregó la escritura al amigo.,La entrega fue eficaz cuando el amigo inscribió la escritura.,La escritura se inscribió antes de que el legado testamentario surtiera efecto.,B,A,0.3342,C,0.5495
15,Un delincuente cometió el delito de instigación delictiva (solicitation). ¿Cuál de las siguientes afirmaciones no se aplica a la instigación delictiva?,Es un acuerdo entre dos o más personas para cometer un delito.,Es la instigación a otra persona para que cometa un delito grave (felony).,No se requiere ningún acto aparte de la propia instigación.,La retractación generalmente no constituye una defensa.,A,D,0.2966,C,0.4333
16,"El acusado les dijo a dos hombres que una empresa de dispositivos médicos estaba utilizando ahora el viejo almacén junto al río para guardar sus existencias de desfibriladores. Una noche, ya tarde, los dos hombres irrumpieron en el almacén y procedieron a cargar las grandes cajas de desfibriladores en su camión. Cuando se marchaban, uno de los hombres arrojó inadvertidamente la colilla de su cigarrillo a un montón de desechos compuesto de cajas de cartón viejas y papeles. Poco después, los desechos se prendieron en un pequeño incendio. Aunque los hombres tuvieron tiempo de apagar el fuego sin peligro alguno para sí mismos, no lo hicieron. En cambio, huyeron. Mientras tanto, el fuego se propagó rápidamente y envolvió en llamas todo el almacén. Si el acusado es posteriormente imputado como coconspirador, con toda probabilidad se le consideraría responsable como",partícipe previo al hecho (accessory before the fact).,autor en segundo grado (principal in the second degree).,cómplice.,no responsable.,D,C,0.4117,A,0.5355
17,Un hombre fue arrestado y condenado por publicar anuncios pagados en periódicos que daban información sobre cómo obtener un aborto en otro estado y cómo encontrar un servicio de referencias. Una ley penal tipificaba como delito la difusión de dicha información. ¿Confirmarán los tribunales la condena?,"No, la ley viola el derecho a la privacidad de la Sexta Enmienda.","No, la ley viola el derecho de la Primera Enmienda a publicar discurso comercial protegido.","Sí, el derecho al aborto no incluye el derecho a publicitar dónde obtenerlo.","Sí, no existe un derecho a publicar o difundir discurso de naturaleza comercial.",B,A,0.3294,B,0.9796
18,"Un famoso ambientalista era propietario de una gran extensión de bosque virgen. El ambientalista transmitió la extensión ""al pueblo del estado en dominio pleno (fee simple); con la salvedad, sin embargo, de que si alguna porción de dicha extensión llegara alguna vez a usarse o desarrollarse con cualquier fin comercial o a convertirse de otro modo desde su estado natural (con excepción de los fines recreativos, científicos o educativos), entonces el otorgante o sus sucesores en el interés podrán reingresar y recuperar el dominio anterior del otorgante"". El interés del estado sobre la extensión se describiría mejor como un (una)",dominio pleno determinable (fee simple determinable).,dominio pleno sujeto a condición resolutoria (fee simple subject to condition subsequent).,servidumbre predial (easement appurtenant).,dominio determinable sujeto a un interés ejecutorio (determinable fee subject to an executory interest).,B,A,0.3697,B,1.0
19,"Un contratista y el propietario de una vivienda negociaban el precio de la construcción de una casa nueva. El contratista hizo varias ofertas de construcción al propietario, incluida una por $100,000. ¿Cuál de las siguientes comunicaciones no extinguiría la oferta, de modo que una aceptación posterior pudiera ser eficaz?","El propietario le pregunta al contratista si estaría dispuesto a construir la casa por $95,000.",El contratista se pone en contacto con el propietario y manifiesta que la oferta queda retirada.,"El contratista fallece antes de que el propietario acepte, pero el hijo del contratista tiene la intención de continuar el negocio.","El propietario manifiesta: ""Acepto su oferta, pero el precio será de $97,000"".",A,B,0.4269,D,0.9672
20,"Un acusado era sospechoso de haber robado con allanamiento (burglary) el apartamento de su vecino. El vecino denunció que su apartamento había sido saqueado y que le habían sustraído varias prendas de vestir. Durante el curso de la investigación, dos detectives de policía acudieron al lugar de trabajo del acusado para entrevistarlo. Tras ser informado de sus derechos conforme a Miranda, el acusado pidió permiso para llamar a su abogado. Aunque su abogado no estaba disponible, la recepcionista del abogado le advirtió que no dijera nada. El acusado les dijo a los detectives que no tendría nada más que decir a menos que su abogado estuviera presente. Los detectives le preguntaron entonces si los acompañaría a la comisaría para responder algunas preguntas sobre un robo no relacionado. El acusado aceptó. Mientras conducían hacia la comisaría, le preguntaron al acusado dónde había comprado las botas que llevaba puestas. Él se negó a responder. Cuando llegaron a la comisaría, los detectives le pidieron que firmara una renuncia a su derecho a la asistencia de abogado. El acusado respondió que no firmaría nada en ausencia de su abogado. Entonces fue colocado en una sala de interrogatorio. Poco después, le dijeron al acusado que podía irse si estaba dispuesto a decir dónde había comprado sus botas. El acusado admitió que había comprado las botas y algunas camisas a un amigo. A partir de esta información, los detectives obtuvieron una orden de registro y fueron al domicilio del acusado, donde encontraron la ropa robada. El acusado es imputado por el robo con allanamiento del apartamento. En el juicio, el tribunal debería","admitir la confesión porque fue voluntaria, y la ropa porque fue obtenida en virtud de una orden de registro válida.","excluir la confesión porque fue obtenida en violación de su derecho a la asistencia de abogado conforme a la Sexta Enmienda, pero admitir la ropa porque fue obtenida en virtud de una orden de registro válida.","excluir la confesión porque el acusado no firmó la renuncia, pero admitir la ropa porque fue obtenida en virtud de una orden de registro válida.","excluir la confesión porque fue obtenida en violación de su derecho a la asistencia de abogado conforme a la Quinta Enmienda, y la ropa porque la orden de registro se obtuvo como resultado de la confesión.",D,B,0.359,B,0.9982
21,"Una mujer trabajaba como dependienta en una tienda por departamentos. Trabajaba en la sección de lencería femenina. Una noche, cerca de la hora de cierre, la mujer tomó un collar de diamantes de una vitrina de la sección de joyería de la tienda y lo envolvió en papel de seda. Luego, la mujer metió subrepticiamente el collar en una bolsa de compras, con la intención de sacarlo cuando saliera de la tienda. Momentos después, el dueño de la tienda se acercó a la mujer y le dijo que necesitaba quedarse hasta tarde para hacer el inventario. Mientras la mujer completaba el inventario, el dueño descubrió el collar y llamó a la policía. La mujer es muy probablemente culpable de",tentativa de hurto.,hurto.,estafa mediante falsas apariencias (false pretenses).,apropiación indebida.,B,B,0.4118,B,0.994
22,"Una mujer se encontraba en un baño público de un centro comercial. Mientras la mujer estaba en el lavabo, un hombre entró al baño y le dijo que no hiciera ningún ruido. Asustada, la mujer corrió hacia una ventana abierta del baño y saltó a la escalera de incendios. Al bajar por la escalera de incendios, la mujer cayó accidentalmente y se magulló las piernas. ¿De cuál de los siguientes delitos, si de alguno, sería más probablemente condenado el hombre?",Amenaza de agresión.,Agresión.,Amenaza de agresión con intención de cometer violación.,Ningún delito.,D,A,0.2822,A,0.5261
23,"Un comprador adquirió un galón de leche descremada en un mercado. La leche, que se vendía en un envase de plástico, había sido procesada y envasada por una empresa láctea. Esa noche, el comprador estaba preparando la cena y se sirvió un vaso de leche del envase comprado en el mercado. Luego se sentó a comer y procedió a tomar un sorbo de leche. Al hacerlo, el comprador sintió que algo peludo se le alojaba en la boca. Inmediatamente escupió el objeto peludo y vio que era un ratón muerto. El comprador sufrió angustia emocional grave, pero no sufrió ninguna enfermedad ni lesión física. Si el comprador presenta una demanda contra la empresa láctea basada en fabricación negligente, lo más probable es que","obtenga indemnización, porque sufrió angustia emocional grave.","obtenga indemnización, en virtud de la doctrina de res ipsa loquitur.","no obtenga indemnización, porque la negligencia de la empresa láctea solo causó perturbación mental.","no obtenga indemnización, porque la acción procedente del comprador es por infligir intencionalmente angustia mental.",C,A,0.3076,B,0.9227
24,"Después de tomar varias copas en un bar, un hombre y su amigo pasaron en auto frente a una casa grande con las luces apagadas. Con el hombre sentado en el asiento del pasajero, el amigo detuvo el auto a un lado. Se sentían ebrios y agresivos por las bebidas. Después de discutirlo, decidieron que era una apuesta segura entrar en la casa y ver qué podían llevarse. Entraron por la fuerza y se llevaron varias bolsas de joyas. Mientras se alejaban conduciendo, fueron detenidos y arrestados por robo con allanamiento (burglary). El pasajero utilizó la defensa de que estaba demasiado ebrio para formar la intención específica de entrar en la casa con el propósito de cometer un delito grave en su interior. ¿Indican los hechos descritos que la defensa probablemente prevalecerá en un juicio sobre el fondo?","Sí, porque de hecho estaba demasiado ebrio para formar la intención necesaria para probar el robo con allanamiento.","No, porque la intoxicación nunca es una defensa frente a la comisión de un delito grave.","No, porque los hechos indican que no estaba demasiado ebrio para formar la intención necesaria para el robo con allanamiento.","Sí, porque la sensación de estar ebrio y agresivo no era su estado mental natural y, por lo tanto, quedaba desvirtuada la mens rea.",C,A,0.401,A,0.7605
25,"La viuda de un trabajador ferroviario interpuso una acción por muerte por causa ilícita (wrongful death) ante un tribunal federal contra la empresa ferroviaria, alegando que la negligencia de esta había causado la muerte de su esposo. En el juicio, la viuda ofreció el testimonio de un compañero de trabajo del esposo. El compañero de trabajo declaró que había visto que el vagón en el que viajaba el esposo reducía la velocidad y que los vagones detrás de él ganaban velocidad. El compañero de trabajo también declaró que más tarde oyó un fuerte estruendo, pero que no se volvió a mirar porque los ruidos fuertes eran comunes en el patio ferroviario. Otros tres empleados del ferrocarril declararon que no se había producido ninguna colisión. Al cierre de la prueba, la empresa ferroviaria solicitó que se dictara sentencia como cuestión de derecho (judgment as a matter of law), lo cual fue denegado, y el caso se sometió al jurado. El jurado emitió un veredicto a favor de la viuda. La empresa ferroviaria ha presentado una solicitud renovada de sentencia como cuestión de derecho. ¿Qué estándar debería aplicar el tribunal para determinar cómo resolver la solicitud?",Si la prueba reveló una controversia genuina sobre un hecho material que respalde la pretensión de la viuda.,Si el veredicto es contrario al peso de la prueba.,Si la viuda presentó un mínimo indicio de prueba (scintilla of evidence) que respalde el veredicto.,"Si existe prueba sustancial en el expediente que respalde el veredicto, resolviendo todas las cuestiones controvertidas a favor de la viuda.",D,D,0.448,D,0.6752
26,"El 1 de febrero, un hombre envió la siguiente carta a un mecánico: ""Mi auto no ha estado funcionando muy bien últimamente. Le pagaré $275 si cambia el aceite, reemplaza el filtro de aceite y ajusta los carburadores antes del 10 de febrero."" El mecánico recibió la carta del hombre el 3 de febrero. Ese mismo día, telefoneó a una empresa de repuestos de automóviles y encargó los materiales necesarios para realizar el trabajo de reparación. Dos días después, el mecánico se encontró con el hombre en una fiesta y tuvo lugar esta conversación: El hombre: ""Haga caso omiso de la carta que le envié la semana pasada."" El mecánico: ""De ninguna manera, ya encargué los materiales a la empresa de repuestos."" El hombre: ""Lo siento, pero vendí mi auto ayer, así que olvídese del trabajo de reparación."" Si el mecánico inicia una demanda por incumplimiento de contrato, ¿cuál de los siguientes es el argumento más sólido del hombre de que no se formó ningún contrato exigible entre las partes?",El mecánico no había completado la ejecución antes de que el hombre revocara su oferta.,La oferta del hombre solo podía aceptarse mediante una promesa recíproca.,"Dado que el hombre hizo su oferta por carta, el mecánico solo podía aceptar por el mismo medio.","Aunque el mecánico se estaba preparando para realizar el trabajo de reparación, no había comenzado los actos de aceptación solicitados cuando el hombre revocó su oferta.",D,D,0.5013,D,0.9954
27,"Un demandante demandó a un demandado por lesiones sufridas en una caída en la acera de la casa del demandado. La demanda del demandante alegaba que la acera estaba cubierta por una gruesa capa de hielo, que había sido dejada allí negligentemente durante varios días por el demandado. En su contestación, el demandado expuso que el hielo se formó durante la noche y que el demandante cayó antes de que el demandado tuviera oportunidad de retirarlo. Durante el juicio, un médico, cuyo consultorio estaba junto a la casa del demandado, declaró que vio caer al demandante y que el hielo, que había estado allí durante varios días, tenía al menos dos pulgadas de espesor. En el contrainterrogatorio, el abogado del demandado le hizo al médico la siguiente pregunta: ""Durante su tratamiento del demandante el día en cuestión, ¿no es cierto que él le dijo que su caída se debió a una pérdida de equilibrio después de sufrir mareos?"" Ante la objeción del abogado del demandante, el testimonio del médico será declarado","admisible, porque es razonablemente pertinente para el diagnóstico o el tratamiento.","admisible, porque el médico tenía conocimiento personal de las lesiones del demandante.","inadmisible, porque el abogado del demandado no sentó las bases probatorias adecuadas.","inadmisible, porque el testimonio del médico no es relevante para probar que las supuestas lesiones del demandante son falsas o exageradas.",A,A,0.422,A,0.9011
28,"El Día de Acción de Gracias, un padre estaba trinchando un pavo para su familia cuando se cortó gravemente la mano. El cuchillo seccionó una arteria, lo que hizo que el padre perdiera mucha sangre. La madre telefoneó a su médico de familia, quien le indicó que llevara al padre en auto al hospital local. El médico indicó que se reuniría con ellos allí. Poco tiempo después, en el hospital, el médico atendió al padre y le vendó la mano. Sin embargo, debido a que el padre había perdido una cantidad considerable de sangre, el médico ordenó una transfusión de sangre inmediata. Tras determinar que el tipo de sangre del padre era A positivo, el médico instruyó verbalmente a una enfermera, empleada del hospital, para que obtuviera la sangre necesaria para la transfusión. La enfermera siguió las instrucciones del médico y telefoneó al departamento del banco de sangre del hospital para pedir una unidad de sangre A positivo. La persona del banco de sangre que recibió la llamada de la enfermera anotó correctamente el pedido de sangre A positivo. Sin embargo, alguien que trabajaba en el banco de sangre, cuya identidad no puede determinarse, cometió un error al preparar el pedido y etiquetar la unidad de sangre para el padre. Como resultado, el banco de sangre envió una unidad de sangre B positivo etiquetada erróneamente como sangre A positivo. Tras recibir la sangre equivocada, el padre murió. El hospital tiene en vigor una norma escrita según la cual todas las órdenes de transfusiones de sangre deben ser emitidas por escrito por el médico a cargo del tratamiento del paciente. Aunque el médico conocía la norma del hospital, él, como muchos otros médicos del hospital, frecuentemente ordenaba transfusiones de sangre mediante instrucciones verbales. Si la madre interpone una acción por muerte por causa ilícita (wrongful death) contra el médico, lo más probable es que","prevalezca, porque el médico sería responsable del error del banco de sangre al administrar la sangre equivocada.","prevalezca, porque el médico no siguió la norma del hospital relativa a las órdenes de transfusión de sangre.","no prevalezca, porque el médico actuó de la misma manera que muchos otros médicos del hospital.","no prevalezca, porque la persona no identificada del banco de sangre que fue responsable de enviar el tipo de sangre equivocado no era empleada del médico.",D,A,0.4243,B,0.9996
